Advertiser	TV	Radio	Newspaper	Magazine
삼성전자	19599391	250936	8739476	399600
SK텔레콤	7963834	0	1740015	6300
LG전자	7740195	0	664935	61100
코리아테크	6971824	0	0	0
두나무	5407515	435409	682348	0
동국제약	6097651	0	0	46300
KT	2907675	128493	2651203	31800
바디프랜드	4724871	193016	214260	50100
기아자동차	3879162	141656	1057035	75400
현대자동차	2174979	369615	2205060	75000
세라젬	4189976	186667	0	0
삼성화재	0	0	4204413	27900
에이스침대	4031690	56689	0	104500
명인제약	3924434	19492	152414	0
한국인삼공사	3401042	99233	553570	17800
핀다	3857277	0	0	0
와이씨네트웍스	3801846	0	0	0
신세계까사	3719671	0	0	0
삼성생명보험	0	0	3626258	21300
우리은행	0	0	3563304	18500
동문건설	3320710	173380	48285	0
한국피앤지	3401023	62503	0	0
롯데지주	2438644	0	901890	0
장스푸드	2958858	260298	0	0
뮤직카우	3149832	0	24060	0
롯데케미칼	2166458	201415	775185	4500
이덕아이앤씨	3091690	0	22200	11500
기업은행	407919	0	2632859	36000
SK하이닉스	0	0	3059160	0
종근당건강	2694909	232716	114381	0
11번가	2625387	404048	0	0
아모레퍼시픽	1757780	0	861078	391900
하이트진로	2969209	0	2646	5800
동서식품	2043990	0	906146	9000
LGU플러스	2343899	126347	435161	32000
동화약품	2820040	0	108261	1800
지엔엠라이프	2929848	0	0	0
신한금융지주회사	0	0	2842040	84500
SK(주)	0	500822	2419875	0
NH투자증권	2132051	213545	490529	18300
하율디앤씨	2478540	315031	0	0
볼보자동차코리아	2788707	0	1395	0
KB금융지주	0	0	2720826	56500
애터미	2772463	0	0	0
한국코카콜라	2731642	39270	0	0
길림양행	2690017	0	0	0
쿠쿠전자	2599755	30320	0	19200
대우건설	2312096	183976	116409	3500
트렌비	2603192	0	0	0
하나금융그룹	0	0	2565980	18500
